Dojo Title,Score
Bunasawa,22
Norwalk,60
Santa Monica,10
San Gabriel,5
Seinan,0
South Bay,16
Barstow,8
Sacramento ,8
Hayastan,23
OAR,3
OCK,19
Riverside,31
Guerreros,3
San Isirdo,3
Torrance,4
Southwest,43
 ,9
Valley,9
Mexico,41
Simi Valley,1
Migoto,6
Venice,11
SDBrazillian,12
Taishi,54
Doryoku,40
YMCA Scholars,6
San Shi,9
Nishi,4
Harbor,1
Gardena,5
Fowler,3
Konjo,15
Heart Dojo,1
So Cal Jodo,1
Thomas,5
Sawtelle,30
West Covina,6
Fresno,18
Temecula,5
combined martial science,3
In.Sheriff,14
Long Beach,6
Heisei,6
Empire,7
Tenri,38
Mojica,68
San Fernando,0
